Country	Product Name	FNSKU	Merchant SKU	ASIN	Condition	Supplier	Supplier part no.	Currency code	Price	Sales last 30 days	Units Sold Last 30 Days	Total Units	Inbound	Available	FC transfer	FC Processing	Customer Order	Unfulfillable	Working	Shipped	Receiving	Fulfilled by	Total Days of Supply (including units from open shipments)	Days of Supply at Amazon Fulfillment Network	Alert	Recommended replenishment qty	Recommended ship date	Recommended action	Unit storage size
US	Mockins 25 CuFt Waterproof Rooftop Cargo Bag |60"x43"x17" All-Weather Car Roof Cargo Carrier Bag |Vinyl Car Roof Bag w/Mat, Straps & Door Hooks| Car Top Carrier for Vehicles with or Without Roof Rack	B0FNS3TSFK	ZZZ-MA-RB-25BLK-69	B0FNS3TSFK	New	unassigned		USD	99.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon			out_of_stock	0	none	No action required	0.8195 ft3
US	Mockins 20 CuFt Waterproof Rooftop Cargo Carrier Bag |53"x40"x17" Car Roof Cargo Carrier Bundle for Use with or w/o Car Roof Rack | Car Top Carrier Roof Bag | Car Topper Luggage Carrier Waterproof Set	B0FDNHK12R	ZZZ-MA-RB-20OR-31	B0FDNHK12R	New	unassigned		USD	59.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon			out_of_stock	0	none	No action required	0.7622 ft3
US	Nevlers 2 Pack Inflatable Loungers with Pockets & Matching Bag -Yellow & Gray - Waterproof & Portable - Easy to Take to The Beach, Park, Pool, and Camping Accessories	B0B3512J4R	NOLNG2PYELGRY46	B0B3512J4R	New	unassigned		USD	59.98	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon	0	0	out_of_stock	0	none	No action required	0.4074 ft3
US	Nevlers 2 Pack Inflatable Loungers with Side Pockets and Matching Travel Bags - Blue & Pink - Waterproof and Portable - Great and Easy to Take to The Beach, Park, Pool, and as Camping Accessories	B07XF7BCG2	NOLNG2PBLUPNK27	B07XF7BCG2	New	unassigned		USD	59.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon	0	0	out_of_stock	0	none	No action required	0.4973 ft3
US	Nevlers 2 Pack Inflatable Loungers with Pockets & Matching Bag - Green/Blue - Waterproof & Portable - Easy to Take to The Beach, Park, Pool, and Camping Accessories	B07XD682TZ	NOLNG2PBLUGRN26	B07XD682TZ	New	unassigned		USD	59.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon			out_of_stock	0	none	No action required	0.5628 ft3
US	Nevlers Inflatable Lounger Air Sofa - Portable Inflatable Couch for Camping, Outdoor Movie Seating | Easy to Use Air Couch Inflatable Chair Camping Accessories | Inflatable Sofa - American Flag Print	B084ZY11T5	NOLNG2PAFLG29	B084ZY11T5	New	unassigned		USD	59.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon	0	0	out_of_stock	0	none	No action required	0.6445 ft3
US	Nevlers Sand Free Beach Blanket - X-Large 10'x10' - Holds 6-8 People - Lavender and Gray - 4 Pegs and Bonus Frisbee - Great as a Waterproof Blanket, Yoga, Picnic Blanket, and as Camping Accessories	B09HR52SPC	NOBLNTLVRGYXL49	B09HR52SPC	New	unassigned		USD	22.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon			out_of_stock	0	none	No action required	0.1692 ft3
US	Nevlers Sand Free Beach Blanket - X-Large 10'x10' - Holds 6-8 People - Gray and Blue - Bonus Frisbee - Great as a Waterproof Blanket, Picnic Blanket, and for Camping Supplies	B09HR5HVFF	NOBLNTGYBLXL48	B09HR5HVFF	New	unassigned		USD	29.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon			out_of_stock	0	none	No action required	0.2505 ft3
US	Nevlers Sand Free Beach Blanket - Large Design 75" x 79" - Holds 4-6 People - Yellow and Gray - Bonus Frisbee Included - Waterproof Blanket, Picnic Blanket, and for Camping Supplies!	B09DDGZT3V	NOBLNKTYELGRY50	B09DDGZT3V	New	unassigned		USD	21.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon			out_of_stock	0	none	No action required	0.0462 ft3
US	Nevlers Sand Free Beach Blanket - Large 75" x 79" - Holds 4-6 People - Lavender and Gray - Bonus Frisbee - Great as a Waterproof Blanket, Picnic Blanket, and for Camping Supplies	B08MFR7ZDY	NOBLNKTLVDRGY35	B08MFR7ZDY	New	unassigned		USD	24.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon			out_of_stock	0	none	No action required	0.2039 ft3
