Country	Product Name	FNSKU	Merchant SKU	ASIN	Condition	Supplier	Supplier part no.	Currency code	Price	Sales last 30 days	Units Sold Last 30 Days	Total Units	Inbound	Available	FC transfer	FC Processing	Customer Order	Unfulfillable	Working	Shipped	Receiving	Fulfilled by	Total Days of Supply (including units from open shipments)	Days of Supply at Amazon Fulfillment Network	Alert	Recommended replenishment qty	Recommended ship date	Recommended action	Unit storage size
US	Nevlers 17 Oz Textured Swing Top Glass Bottles with Lids | Flip Top Glass Bottle with Stopper 6 Pack | Resealable Beer, Water, Vanilla Extract or Kombucha Bottles | Airtight Drinking or Syrup Bottle	B0D8K1HS7J	NG-17Z-SW-TRD-CLR-TXT-6P-24	B0D8K1HS7J	New	unassigned		USD	36.99	1424.43	57	65	0	57	6	0	2	4	0	0	0	Amazon	48	47		12	02/19/2026	Create shipping plan	0.3988 ft3
US	Nevlers 17 Oz Textured Swing Top Glass Bottles with Lids | Flip Top Glass Bottle with Stopper 12 Pack | Resealable Bottles with Stoppers for Kombucha, Beer, Limoncello, Mead or Syrup | Bottling Kit	B0D7XGLB85	NG-17Z-SW-TRD-CLR-TXT-12P-25	B0D7XGLB85	New	unassigned		USD	49.99	1439.64	36	52	0	41	4	7	0	1	0	0	0	Amazon	38	33		9	02/19/2026	Create shipping plan	0.7606 ft3
US	Nevlers 17 Oz Teardrop Swing Top Glass Bottles with Airtight Lid 6 Pack | Flip Top Glass Bottle with Stopper, Funnel, Brush, Shrink Wrap, Marker & Tags | Clear Beer Bottles | Fermentation Bottle Kit	B07PMT54SJ	NG-17Z-SW-TRD-CLR-6P-31	B07PMT54SJ	New	unassigned		USD	29.99	2173.88	87	119	0	93	21	5	0	3	0	0	0	Amazon	49	47		31	02/19/2026	Create shipping plan	0.4662 ft3
US	Nevlers 17 Oz Teardrop Flip Top Glass Bottle 12 Pack | Swing Top Glass Bottles with Airtight Lid, Brush, Funnel, Shrink Wrap, Tags & Marker | Beer Bottles For Home Brewing | Oil Bottle | Kombucha Jar	B07PMT4GHQ	NG-17Z-SW-TRD-CLR-12P-32	B07PMT4GHQ	New	unassigned		USD	45.00	3119.22	78	151	12	131	1	6	1	3	12	0	0	Amazon	50	43		36	02/19/2026	Create shipping plan	0.7888 ft3
US	Nevlers 17 Oz Square Flip Top Glass Bottle with Lid 6 Pack | Swing Top Glass Bottles with Airtight Lids, Funnel, Brush & Gold Marker | Coquito Bottles with Caps | Juice, Extract & Syrup Container Set	B0CDY1BM7M	NG-17Z-SW-SQR-CLR-6P-60	B0CDY1BM7M	New	unassigned		USD	44.99	1693.23	77	93	0	32	60	1	0	4	0	0	0	Amazon	56	55		2	02/19/2026	Create shipping plan	0.4189 ft3
US	Nevlers 17 Oz Square Swing Top Glass Bottles with Airtight Lid | Flip Top Glass Bottle with Stopper 12 Pack | Empty Beer Bottles for Home Brewing | Complete Bottling Kit for Syrups, Dressings & More	B0CDXZJ9PF	NG-17Z-SW-SQR-CLR-12P-61	B0CDXZJ9PF	New	unassigned		USD	55.99	39.99	1	187	186	1	0	0	0	1	0	0	186	Amazon	78	78		0	none	No action required	0.7287 ft3
US	Nevlers 17 Oz Dotted Swing Top Glass Bottles with Airtight Lid | Flip Top Glass Bottle with Stopper 6 PK | Reusable Beer & Kombucha Bottles | Bottling Kit w/Shrink Wrap, Tags, Funnel, Brush & Marker	B0D7X44RSM	NG-17Z-SW-RND-CLR-DOT-6P-22	B0D7X44RSM	New	unassigned		USD	34.99	1749.3	70	97	0	47	48	2	0	3	0	0	0	Amazon	61	60		0	none	No action required	0.3755 ft3
US	Nevlers 17 Oz Dotted Swing Top Glass Bottles with Airtight Lid | Flip Top Glass Bottle 12 Pack with Shrink Wrap, Funnel, Brush, Paper Tags & Marker | Reusable Kombucha Bottles | Clear Beer Bottle Set	B0D7X3ZL2F	NG-17Z-SW-RND-CLR-DOT-12P-23	B0D7X3ZL2F	New	unassigned		USD	49.99	1627.19	44	118	3	108	6	0	1	3	0	0	3	Amazon	103	102		0	none	No action required	0.7965 ft3
US	Nevlers 17 Oz Swing Top Glass Bottles with Airtight Lid 6 Pack | Flip Top Glass Bottle Set with Funnel, Brush & Marker | Fermentation Bottle with Stopper Kit for Mead, Soda, Liquor or Kombucha Bottles	B08ZDVZSQC	NG-17Z-SW-RND-CLR-6P-33	B08ZDVZSQC	New	unassigned		USD	29.99	571.74	26	73	0	65	0	8	0	1	0	0	0	Amazon	112	99		0	none	No action required	0.5489 ft3
US	Nevlers 17 Oz Swing Top Glass Bottles with Lids 12 Pack | Clear Flip Top Glass Bottle with Stopper Kit for Liquor, Kombucha or Vanilla Extract Bottles | Wine Bottle Set with Funnel, Brush & Marker	B08ZNXLQ3V	NG-17Z-SW-RND-CLR-12P-34	B08ZNXLQ3V	New	unassigned		USD	50.00	799.8	20	103	24	70	3	6	0	2	24	0	0	Amazon	118	85		0	none	No action required	0.9336 ft3
US	Nevlers Amber Swing Top Glass Bottles 16oz 12 Pack | Empty Beer Bottles for Home Brewing , Fermentation or General Storage | Resealable Flip Top Glass Bottle Set | Durable Kombucha Bottle Bottling Kit	B097S79RQ5	NG-16Z-BR-AM-12P-46	B097S79RQ5	New	unassigned		USD	44.99	7137.96	204	282	45	139	85	11	2	3	45	0	0	Amazon	37	29		149	02/19/2026	Create shipping plan	0.7822 ft3
US	Nevlers 12 Oz Swing Top Glass Bottles with Lids – 12 Pack | Square Flip Top Glass Bottle with Lid Set w/Shrink Wrap, Tags & String, Funnel, Brush, & Marker | Water, Dressing & Vanilla Extract Bottles	B0D7WV6V3P	NG-12Z-SW-SQR-CLR-12P-72	B0D7WV6V3P	New	unassigned		USD	49.99	3117.51	99	285	31	195	12	46	1	7	30	0	1	Amazon	150	103		0	none	No action required	0.6321 ft3
US	Nevlers 12 Oz Swing Top Glass Bottles with Stoppers 12 Pack | Airtight Flip Top Glass Bottle Set w/Shrink Wrap, Paper Tags, Funnel, Brush & Marker | Great For Use As Kombucha Bottles & Vanilla Jars	B0D8JYP94M	NG-12Z-SW-RND-CLR-12P-78	B0D8JYP94M	New	unassigned		USD	49.99	4289.62	118	20	18	0	0	0	2	6	0	0	18	Amazon	7	6	low_stock	101	02/19/2026	Create shipping plan	0.6346 ft3
US	Nevlers 1 Pack 1oz Amber Glass Dropper Bottle |Leakproof 30ml Mini Dropper Bottles for Travel |Multi-Use as Oil Bottles for Hair, Medicine Dropper, Eye Dropper Bottle, Tincture Bottles & More	B0DHY9TBHG	NG-00-1PACK	B0DHY9TBHG	New	unassigned		USD	5.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon			out_of_stock	0	none	No action required	0.0181 ft3
US	Nevlers Rectangle Shape Pink Himalayan Salt Lamp with Wood Base | 7-8 lbs 8"H x 3.75"W x 7.5"L Salt Rock Lamp | Himalayan Pink Salt Lamp + 2 Bulbs & Dimmer Cord| Hand Crafted Pink Himalayan Salt Lamps	B085VMV1Y1	NDRECT-LMP43	B085VMV1Y1	New	unassigned		USD	49.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon			out_of_stock	0	none	No action required	0.2119 ft3
US	Nevlers Rectangle Shape White Himalayan Salt Lamps with Wood Base | 7-8 lbs, 8" H x 3.75" W x 7.5" L White Salt Lamp w/Dimmer Cord & 2 Bulbs | 100% Small Himalayan Salt Lamp for Home Decor	B09Z38CGNQ	NDREC-LMP-WHT52	B09Z38CGNQ	New	unassigned		USD	54.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon	0	0	out_of_stock	0	none	No action required	0.2116 ft3
US	Nevlers Pineapple Shape Pink Himalayan Salt Lamp w/Wood Base| 7-8 lbs & 7"- 8" Tall Himalayan Pink Salt Lamp w/Dimmer Cord & Light Bulb| 100% Salt Rock Lamp | Ambient Salt Crystal Lamp for Home Decor	B08428J1R3	NDPINAPP36	B08428J1R3	New	unassigned		USD	39.99	259.87	13	15	0	6	8	1	0	0	0	0	0	Amazon	77	71		0	none	No action required	0.1704 ft3
US	Nevlers White Himalayan Salt Inhaler for Lungs & Nose with 6 Oz Coarse Pink Himalayan Sea Salt | Portable Ceramic Himalayan Pink Salt Inhaler | Natural Homeopathic Relief	B07X4KRCD4	NDINHWHT27	B07X4KRCD4	New	unassigned		USD	19.99	16.99	1	0	0	0	0	0	0	0	0	0	0	Amazon	0	0	out_of_stock	24	02/12/2026	Create shipping plan	0.0411 ft3
US	Nevlers Himalayan Salt Inhaler Ceramic with 6 Oz Coarse Himalayan Pink Salt - Home Salt Therapy for Asthma - Handy Natural Allergy Relief for Adults - Pink	B08N8QC4M9	NDINHPNK49	B08N8QC4M9	New	unassigned		USD	24.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon	0	0	out_of_stock	0	none	No action required	0.0412 ft3
US	Nevlers Navy Blue Himalayan Salt Inhaler w/ 6 Oz Coarse Pink Himalayan Sea Salt | Ceramic Portable Himalayan Pink Salt Inhaler for Lungs & Nose | Homeopathic Natural Asthma Relief Smelling Salts	B0883HKMGL	NDINHNVY46	B0883HKMGL	New	unassigned		USD	24.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon	0	0	out_of_stock	8	02/12/2026	Create shipping plan	0.0389 ft3
US	Nevlers Himalayan Salt Inhaler Ceramic with 6 Oz Himalayan Pink Salt Organic Coarse - for Allergies Relief - Portable & Natural Asthma Relief Inhaler - Lavender	B085JZDXYK	NDINHLVDR38	B085JZDXYK	New	unassigned		USD	23.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon			out_of_stock	0	none	No action required	0.0368 ft3
US	Nevlers Himalayan Salt Inhaler w/ 6 Oz Coarse Organic Himalayan Pink Salt |Cobalt Blue Ceramic Portable Salt Inhalers for Natural Asthma Relief |Homeopathic Inhalers for Breathing Problems for Adults	B085K1941R	NDINHCBLT37	B085K1941R	New	unassigned		USD	19.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon	0	0	out_of_stock	11	02/12/2026	Create shipping plan	0.0391 ft3
US	Nevlers Light Blue Himalayan Pink Salt Inhaler w/ 6 Oz Organic Coarse Pink Himalayan Sea Salt | Portable Handheld Ceramic Salt Air Inhaler | Homeopathic Natural Himalayan Salt Inhaler for Lungs & Nose	B07XC2YZ8K	NDINHBLU26	B07XC2YZ8K	New	unassigned		USD	24.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon	0	0	out_of_stock	28	02/12/2026	Create shipping plan	0.0405 ft3
US	Nevlers Flower Shape Pink Himalayan Salt Lamp with Wood Base | 7-8 lbs and 7"- 8" Tall Salt Rock Lamp w/Dimmer Cord & Light Bulb | 100% Salt Light Himalayan Lamp | Himalayan Salt Lamps for Home Decor	B08428DXYW	NDFLWR32	B08428DXYW	New	unassigned		USD	33.99	23.99	1	0	0	0	0	0	0	1	0	0	0	Amazon	0	0	out_of_stock	26	02/12/2026	Create shipping plan	0.1727 ft3
